Candidate1	Candidate2	Candidate3	Candidate4	Candidate5	Candidate6	Candidate7	Candidate8	Candidate9	Candidate10	Candidate11	Candidate12	Candidate13	Candidate14	Candidate15	Candidate16	Candidate17	Candidate18
Insuffisant	Assez bien	Assez bien	Bien	Passable	Passable	Assez bien	Excellent	Très bien	Bien	Bien	Insuffisant	Passable	Bien	Excellent	Insuffisant	Passable	Bien
Assez bien	Assez bien	Assez bien	Assez bien	Excellent	Assez bien	Excellent	Assez bien	Assez bien	Excellent	Assez bien	Excellent	Excellent	Assez bien	Assez bien	Assez bien	Assez bien	Excellent
Passable	Bien	Assez bien	Bien	Assez bien	Assez bien	Excellent	Bien	Assez bien	Assez bien	Excellent	Très bien	Bien	Assez bien	Passable	Passable	Excellent	Insuffisant
			Excellent			Excellent				Excellent		Excellent				Excellent	
	Très bien			Excellent			Bien	Très bien	Bien	Très bien				Excellent		Excellent	
Très bien	Bien	Assez bien	Bien	Excellent	Assez bien	Excellent	Assez bien	Excellent	Excellent	Bien	Assez bien	Très bien	Très bien	Excellent	Excellent	Assez bien	Très bien
Excellent	Excellent	Bien	Excellent	Bien	Excellent	Excellent		Excellent	Très bien	Bien	Assez bien	Très bien	Bien	Très bien	Excellent	Bien	Bien
Bien	Bien	Assez bien	Bien	Excellent	Très bien	Très bien	Excellent	Excellent	Très bien	Très bien	Assez bien	Très bien	Assez bien	Excellent	Bien	Bien	Bien
Bien	Très bien	Bien	Bien	Très bien	Bien	Très bien	Très bien	Bien	Bien	Très bien	Bien	Bien	Très bien	Très bien	Bien	Très bien	Bien
Très bien	Bien	Bien	Assez bien	Insuffisant	Très bien	Excellent	Bien	Très bien	Excellent	Excellent	Très bien	Excellent	Bien	Bien	Assez bien	Bien	Excellent
Très bien	Assez bien	Passable	Assez bien	Insuffisant	Très bien	Excellent	Passable	Assez bien	Excellent	Excellent	Assez bien	Excellent	Assez bien	Passable	Insuffisant	Assez bien	Excellent
		Très bien	Excellent		Très bien		Très bien	Très bien		Excellent			Très bien	Très bien			
	Excellent						Bien	Excellent						Excellent	Très bien	Excellent	
			Très bien					Excellent					Très bien			Très bien	
Assez bien	Excellent	Assez bien	Très bien	Très bien	Passable	Excellent	Bien	Excellent	Excellent	Excellent	Insuffisant	Très bien	Passable	Excellent	Assez bien	Très bien	Très bien
Assez bien	Excellent	Assez bien	Excellent	Très bien	Excellent	Excellent	Bien	Excellent	Bien	Excellent	Bien	Bien	Bien	Très bien	Excellent	Bien	Excellent
